NbCouronne1,Type1,NbCouronne2,Type2,NumeroDomino
0,Champs,0,Champs,01
0,Champs,0,Champs,02
0,Foret,0,Foret,03
0,Foret,0,Foret,04
0,Foret,0,Foret,05
0,Foret,0,Foret,06
0,Mer,0,Mer,07
0,Mer,0,Mer,08
0,Mer,0,Mer,09
0,Prairie,0,Prairie,10
0,Prairie,0,Prairie,11
0,Mine,0,Mine,12
0,Champs,0,Foret,13
0,Champs,0,Mer,14
0,Champs,0,Prairie,15
0,Champs,0,Mine,16
0,Foret,0,Mer,17
0,Foret,0,Prairie,18
1,Champs,0,Foret,19
1,Champs,0,Mer,20
1,Champs,0,Prairie,21
1,Champs,0,Mine,22
1,Champs,0,Montagne,23
1,Foret,0,Champs,24
1,Foret,0,Champs,25
1,Foret,0,Champs,26
1,Foret,0,Champs,27
1,Foret,0,Mer,28